Time,Open,High,Low,Last,Change,%Chg,Volume
"11/29/2024 10:55",601.66,601.84,601.63,601.81,0.16,+0.03%,135870
"11/29/2024 10:50",601.49,601.68,601.41,601.65,0.151,+0.03%,88107
"11/29/2024 10:45",601.64,601.7,601.42,601.499,-0.131,-0.02%,366542
"11/29/2024 10:40",601.76,601.89,601.62,601.63,-0.1495,-0.02%,301247
"11/29/2024 10:35",601.66,601.88,601.45,601.7795,0.1295,+0.02%,193201
"11/29/2024 10:30",601.42,601.66,601.42,601.65,0.2325,+0.04%,202540
"11/29/2024 10:25",601.475,601.53,601.21,601.4175,-0.0527,-0.01%,120254
"11/29/2024 10:20",601.57,601.61,601.27,601.4702,-0.0998,-0.02%,254586
"11/29/2024 10:15",601.5899,601.74,601.47,601.57,-0.015,0.00%,271766
"11/29/2024 10:10",601.24,601.6499,601.23,601.585,0.335,+0.06%,279470
"11/29/2024 10:05",600.99,601.41,600.99,601.25,0.26,+0.04%,378974
"11/29/2024 10:00",600.71,601.0599,600.695,600.99,0.28,+0.05%,465658
"11/29/2024 09:55",600.56,600.7199,600.19,600.71,0.15,+0.02%,280030
"11/29/2024 09:50",600.1925,600.56,600.1925,600.56,0.35,+0.06%,264911
"11/29/2024 09:45",600.31,600.53,600.07,600.21,-0.1,-0.02%,403357
"11/29/2024 09:40",600.3,600.33,600,600.31,0.0087,0.00%,222310
"11/29/2024 09:35",599.93,600.34,599.79,600.3013,0.3813,+0.06%,334571
"11/29/2024 09:30",599.66,600.1,599.3805,599.92,1.09,+0.18%,714999
"11/27/2024 15:55",598.62,598.83,598.48,598.83,0.2102,+0.04%,2407919
"11/27/2024 15:50",598.82,598.98,598.49,598.6198,-0.2002,-0.03%,745762
"11/27/2024 15:45",598.39,598.91,598.35,598.82,0.42,+0.07%,512147
"11/27/2024 15:40",598.45,598.45,597.94,598.4,-0.055,-0.01%,453801
"11/27/2024 15:35",598.51,598.56,598.4,598.455,-0.055,-0.01%,154489
"11/27/2024 15:30",598.545,598.605,598.325,598.51,-0.04,-0.01%,208622
"11/27/2024 15:25",598.47,598.62,598.31,598.55,0.0799,+0.01%,258019
"11/27/2024 15:20",598.56,598.66,598.371,598.4701,-0.0999,-0.02%,391388
"11/27/2024 15:15",598.68,598.83,598.55,598.57,-0.12,-0.02%,201217
"11/27/2024 15:10",598.91,598.94,598.63,598.69,-0.2251,-0.04%,145610
"11/27/2024 15:05",598.86,598.99,598.81,598.9151,0.0601,+0.01%,133256
"11/27/2024 15:00",598.71,598.915,598.6,598.855,0.1451,+0.02%,159379
"11/27/2024 14:55",598.89,598.93,598.7,598.7099,-0.2001,-0.03%,82959
"11/27/2024 14:50",598.99,599.07,598.84,598.91,-0.09,-0.02%,186068
"11/27/2024 14:45",598.95,599.1,598.8401,599,0.06,+0.01%,218665
"11/27/2024 14:40",598.7199,599.04,598.7001,598.94,0.23,+0.04%,165352
"11/27/2024 14:35",598.69,598.81,598.42,598.71,0.01,0.00%,216235
"11/27/2024 14:30",598.71,598.7901,598.6501,598.7,-0.01,0.00%,85664
"11/27/2024 14:25",598.9999,599.05,598.655,598.71,-0.2873,-0.05%,135954
"11/27/2024 14:20",598.91,599,598.721,598.9973,0.0973,+0.02%,91972
"11/27/2024 14:15",599.08,599.1099,598.85,598.9,-0.18,-0.03%,98277
"11/27/2024 14:10",598.97,599.1,598.86,599.08,0.12,+0.02%,160777
"11/27/2024 14:05",599,599.05,598.91,598.96,-0.02,0.00%,83482
"11/27/2024 14:00",598.94,599.08,598.82,598.98,0.0506,+0.01%,140625
"11/27/2024 13:55",598.98,599.12,598.89,598.9294,-0.0606,-0.01%,120138
"11/27/2024 13:50",598.74,599.04,598.71,598.99,0.24,+0.04%,110847
"11/27/2024 13:45",598.8401,598.96,598.63,598.75,-0.099,-0.02%,134757
"11/27/2024 13:40",598.9101,599,598.71,598.849,-0.071,-0.01%,393156
"11/27/2024 13:35",598.74,599.04,598.74,598.92,0.175,+0.03%,477501
"11/27/2024 13:30",598.46,598.78,598.36,598.745,0.2672,+0.04%,121420
"11/27/2024 13:25",598.62,598.74,598.367,598.4778,-0.1372,-0.02%,151385
"11/27/2024 13:20",598.826,598.86,598.55,598.615,-0.205,-0.03%,104171
"11/27/2024 13:15",598.76,598.855,598.5692,598.82,0.1,+0.02%,138141
"11/27/2024 13:10",598.45,598.73,598.43,598.72,0.2601,+0.04%,212538
"11/27/2024 13:05",598.31,598.47,598.26,598.4599,0.1499,+0.03%,107313
"11/27/2024 13:00",598.375,598.4,598.18,598.31,-0.065,-0.01%,145671
"11/27/2024 12:55",598.25,598.43,598.1101,598.375,0.11,+0.02%,126232
"11/27/2024 12:50",598.1207,598.46,598.12,598.265,0.1375,+0.02%,230651
"11/27/2024 12:45",597.98,598.1899,597.845,598.1275,0.1375,+0.02%,104800
"11/27/2024 12:40",597.97,598.1055,597.91,597.99,0,0.00%,77281
"11/27/2024 12:35",597.97,598.1288,597.81,597.99,0.01,0.00%,182282
"11/27/2024 12:30",598.22,598.27,597.77,597.98,-0.24,-0.04%,194136
"11/27/2024 12:25",597.894,598.29,597.89,598.22,0.32,+0.05%,194743
"11/27/2024 12:20",598,598.23,597.88,597.9,-0.1,-0.02%,223425
"11/27/2024 12:15",597.9451,598.04,597.75,598,0.03,+0.01%,192843
"11/27/2024 12:10",597.55,598.06,597.54,597.97,0.4201,+0.07%,209146
"11/27/2024 12:05",597.82,598.03,597.28,597.5499,-0.28,-0.05%,343797
"11/27/2024 12:00",598.14,598.2,597.68,597.8299,-0.3201,-0.05%,251578
"11/27/2024 11:55",598.13,598.34,598.035,598.15,0.02,0.00%,196313
"11/27/2024 11:50",598.14,598.3299,598.01,598.13,-0.02,0.00%,199404
"11/27/2024 11:45",598.435,598.6,598.04,598.15,-0.295,-0.05%,250096
"11/27/2024 11:40",599.02,599.15,598.42,598.445,-0.585,-0.10%,174866
"11/27/2024 11:35",598.645,599.1,598.645,599.03,0.385,+0.06%,286359
"11/27/2024 11:30",598.43,598.71,598.27,598.645,0.1851,+0.03%,188067
"11/27/2024 11:25",598.49,598.64,598.32,598.4599,-0.0301,-0.01%,161047
"11/27/2024 11:20",598.52,598.7297,598.43,598.49,-0.0099,0.00%,188022
"11/27/2024 11:15",598.56,598.67,598.35,598.4999,-0.0701,-0.01%,220036
"11/27/2024 11:10",598.845,598.845,598.33,598.57,-0.28,-0.05%,167052
"11/27/2024 11:05",598.4637,598.9,598.4,598.85,0.37,+0.06%,200543
"11/27/2024 11:00",598.86,598.89,598.25,598.48,-0.38,-0.06%,412857
"11/27/2024 10:55",599.08,599.2,598.71,598.86,-0.2199,-0.04%,267255
"11/27/2024 10:50",599.08,599.21,598.79,599.0799,-0.0001,0.00%,319500
"11/27/2024 10:45",599.55,599.59,599.08,599.08,-0.47,-0.08%,325714
"11/27/2024 10:40",598.69,599.59,598.64,599.55,0.8697,+0.15%,347485
"11/27/2024 10:35",599.28,599.4,598.55,598.6803,-0.5697,-0.10%,434382
"11/27/2024 10:30",599.37,599.565,599.24,599.25,-0.1,-0.02%,263223
"11/27/2024 10:25",599.7,599.785,599.23,599.35,-0.35,-0.06%,368943
"11/27/2024 10:20",599.9,599.92,599.59,599.7,-0.21,-0.04%,243078
"11/27/2024 10:15",599.82,599.98,599.61,599.91,0.085,+0.01%,641408
"11/27/2024 10:10",600.13,600.27,599.77,599.825,-0.305,-0.05%,359250
"11/27/2024 10:05",600.17,600.3965,600.05,600.13,-0.03,0.00%,178646
"11/27/2024 10:00",600.42,600.42,599.89,600.16,-0.28,-0.05%,305163
"11/27/2024 09:55",600.12,600.44,600.08,600.44,0.315,+0.05%,192320
"11/27/2024 09:50",600.55,600.56,600.07,600.125,-0.435,-0.07%,329125
"11/27/2024 09:45",600.58,600.8494,600.42,600.56,-0.01,0.00%,248007
"11/27/2024 09:40",600.24,600.69,600.15,600.57,0.325,+0.05%,285060
"11/27/2024 09:35",600.63,600.63,600,600.245,-0.385,-0.06%,473292
"11/27/2024 09:30",600.46,600.85,599.94,600.63,-0.02,0.00%,844096
"11/26/2024 15:55",600.99,601.18,600.65,600.65,-0.33,-0.05%,6450821
"11/26/2024 15:50",601.14,601.33,600.78,600.98,-0.17,-0.03%,1725417
"11/26/2024 15:45",600.67,601.19,600.67,601.15,0.47,+0.08%,1181166
"11/26/2024 15:40",600.44,600.75,600.3501,600.68,0.235,+0.04%,720188
"11/26/2024 15:35",600.41,600.47,600.3164,600.445,0.035,+0.01%,387283
"11/26/2024 15:30",600.37,600.56,600.26,600.41,0.0385,+0.01%,370889
"11/26/2024 15:25",600.35,600.45,600.28,600.3715,0.0165,0.00%,382111
"11/26/2024 15:20",600.32,600.36,600.16,600.355,0.045,+0.01%,272860
"11/26/2024 15:15",600.315,600.45,600.2632,600.31,-0.01,0.00%,364986
"11/26/2024 15:10",600.275,600.44,600.2,600.32,0.045,+0.01%,334565
"11/26/2024 15:05",600.23,600.35,600.17,600.275,0.055,+0.01%,259118
"11/26/2024 15:00",600.02,600.23,599.93,600.22,0.19,+0.03%,204015
"11/26/2024 14:55",599.98,600.1,599.9399,600.03,0.04,+0.01%,191192
"11/26/2024 14:50",600.095,600.17,599.96,599.99,-0.11,-0.02%,234393
"11/26/2024 14:45",599.98,600.14,599.85,600.1,0.125,+0.02%,184486
"11/26/2024 14:40",600,600.215,599.841,599.975,-0.035,-0.01%,246982
"11/26/2024 14:35",600.025,600.11,599.78,600.01,-0.02,0.00%,206758
"11/26/2024 14:30",599.69,600.06,599.5,600.03,0.3499,+0.06%,223945
"11/26/2024 14:25",599.33,599.7298,599.23,599.6801,0.3801,+0.06%,287806
"11/26/2024 14:20",599.35,599.65,599.24,599.3,-0.0575,-0.01%,331700
"11/26/2024 14:15",599.86,599.88,599.22,599.3575,-0.4975,-0.08%,341607
"11/26/2024 14:10",599.81,600.1199,599.72,599.855,0.045,+0.01%,199833
"11/26/2024 14:05",600.37,600.4,599.77,599.81,-0.56,-0.09%,278978
"11/26/2024 14:00",600.11,600.41,599.99,600.37,0.221,+0.04%,307964
"11/26/2024 13:55",600.03,600.19,599.97,600.149,0.119,+0.02%,114835
"11/26/2024 13:50",600.03,600.1,599.99,600.03,0,0.00%,64675
"11/26/2024 13:45",600.1,600.14,599.955,600.03,-0.06,-0.01%,97063
"11/26/2024 13:40",599.785,600.15,599.77,600.09,0.29,+0.05%,126522
"11/26/2024 13:35",599.98,599.9999,599.69,599.8,-0.19,-0.03%,117606
"11/26/2024 13:30",599.86,600,599.83,599.99,0.1199,+0.02%,40064
"11/26/2024 13:25",599.93,600,599.8401,599.8701,-0.0599,-0.01%,56405
